[2013-10-29 23:20:38] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:04:22] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 2
[2013-10-30 11:04:22] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:04:22] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:04:23] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:04:23] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:04:41] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:04:55] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -1
[2013-10-30 11:05:16] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:05:16] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:05:16] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:05:17] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:05:17] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:05:17] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:05:17] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 11:05:45] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: -1
[2013-10-30 16:15:08] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-30 16:19:00] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-30 16:19:00] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:19:00] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:19:00] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:21:06] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 5
[2013-10-30 16:21:07] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:21:07] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:21:23] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-30 16:21:23] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:21:23] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:22:33] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 1
[2013-10-30 16:22:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:22:34] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:23:00] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:23:40] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:23:41] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:24:41] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:24:58] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 1
[2013-10-30 16:25:48] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:25:49] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:25:49] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:28:19] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:28:19] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:28:20] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:33:02] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:33:02] EDIT Comprehensive_Logistics_Management_Portal/views/default/place_order.html: 0
[2013-10-30 16:33:19] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:33:20] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:33:20] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:33:20] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:33:52] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 1
[2013-10-30 16:33:53] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:33:53] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:33:53] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:34:19] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:34:20] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:34:20] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:34:59] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:34:59] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:34:59] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:35:00] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:35:00] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:52] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 1
[2013-10-30 16:36:53] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:53] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:53] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:53] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:54] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:54] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:54] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:56] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:56] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:56] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:57] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:57] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:36:57] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:38:55] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:38:55] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:39:58] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:39:58] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:39:58] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:33] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: -1
[2013-10-30 16:40:33] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:33] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:34] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:34] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:34] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:51] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:51] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:40:51] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
[2013-10-30 16:41:20] EDIT Comprehensive_Logistics_Management_Portal/controllers/default.py: 0
